Date,Location,Median Sale Price,Median Sale Price MoM,Median Sale Price YoY,Homes Sold,Homes Sold MoM,Homes Sold YoY
2023-03-01,"Martha Jefferson, VA",595,64.82,76.70,2,-77.78,-60.00
2023-04-01,"Fifeville, VA",296,-50.25,-17.80,8,300.00,-38.50
2023-04-01,"Martha Jefferson, VA",506,70.95,55.10,7,-12.50,16.70
2023-05-01,"Fifeville, VA",307,-39.33,-15.80,12,71.43,-33.30
2023-05-01,"Martha Jefferson, VA",470,53.09,21.30,9,-25.00,12.50
2023-06-01,"Fifeville, VA",312,-33.62,-11.50,17,88.89,-37.00
2023-06-01,"Martha Jefferson, VA",488,56.41,25.90,10,-41.18,25.00
2023-07-01,"Fifeville, VA",368,-24.59,4.30,18,80.00,-21.70
2023-07-01,"Martha Jefferson, VA",417,13.32,-1.30,6,-66.67,0.00
2023-08-01,"Fifeville, VA",370,-11.27,7.30,17,183.33,-5.60
2023-08-01,"Martha Jefferson, VA",633,71.08,78.20,2,-88.24,-60.00
2023-09-01,"Fifeville, VA",395,-37.60,11.90,11,450.00,37.50
2023-09-01,"Martha Jefferson, VA",633,60.25,30.40,2,-81.82,-50.00
2023-10-01,"Fifeville, VA",279,-55.92,-33.10,12,500.00,50.00
2023-10-01,"Martha Jefferson, VA",995,256.63,111.70,3,-75.00,-40.00
2023-11-01,"Fifeville, VA",281,-71.76,-24.20,12,300.00,33.30
2023-11-01,"Martha Jefferson, VA",995,254.09,111.70,3,-75.00,0.00
2023-12-01,"Fifeville, VA",300,-69.85,3.60,12,300.00,50.00
2023-12-01,"Martha Jefferson, VA",995,231.67,0.30,3,-75.00,50.00
2024-01-01,"Fifeville, VA",310,-68.84,-11.00,7,133.33,-30.00
2024-01-01,"Martha Jefferson, VA",488,57.42,-69.70,2,-71.43,100.00
2024-02-01,"Fifeville, VA",463,-5.12,38.10,6,200.00,-14.30
2024-02-01,"Martha Jefferson, VA",635,37.15,-7.30,3,-50.00,0.00
2024-03-01,"Fifeville, VA",415,-34.65,14.80,7,133.33,-22.20
2024-03-01,"Martha Jefferson, VA",950,128.92,59.60,5,-28.57,150.00
2024-04-01,"Fifeville, VA",445,-53.16,50.40,11,120.00,37.50
2024-04-01,"Martha Jefferson, VA",940,111.24,85.90,6,-45.45,-14.30
2024-05-01,"Fifeville, VA",440,-53.19,43.30,12,100.00,0.00
2024-05-01,"Martha Jefferson, VA",930,111.36,97.90,7,-41.67,-22.20
2024-06-01,"Fifeville, VA",435,-53.23,39.40,11,57.14,-35.30
2024-06-01,"Martha Jefferson, VA",700,60.92,43.50,5,-54.55,-50.00
2024-07-01,"Fifeville, VA",410,-41.43,11.60,13,160.00,-27.80
2024-07-01,"Martha Jefferson, VA",700,70.73,67.90,5,-61.54,-16.70
2024-08-01,"Fifeville, VA",413,-41.00,11.50,10,100.00,-41.20
2024-08-01,"Martha Jefferson, VA",625,51.33,-1.20,4,-60.00,100.00
2024-09-01,"Fifeville, VA",380,-39.20,-3.80,9,125.00,-18.20
2024-09-01,"Martha Jefferson, VA",735,93.42,16.20,4,-55.56,100.00
2024-10-01,"Fifeville, VA",373,-49.25,33.50,6,50.00,-50.00
2024-10-01,"Martha Jefferson, VA",952,155.23,-4.30,3,-50.00,0.00
2024-11-01,"Fifeville, VA",400,-57.98,42.50,8,166.67,-33.30
2024-11-01,"Martha Jefferson, VA",1200,200.00,23.20,2,-75.00,-33.30
2024-12-01,"Fifeville, VA",390,-67.50,30.00,7,250.00,-41.70
2024-12-01,"Martha Jefferson, VA",753,93.08,-24.30,4,-42.86,33.30
2025-01-01,"Fifeville, VA",390,-48.21,25.80,5,25.00,-28.60
2025-01-01,"Martha Jefferson, VA",464,18.97,-4.70,4,-20.00,100.00
