Date,Location,Median Sale Price,Median Sale Price MoM,Median Sale Price YoY,Homes Sold,Homes Sold MoM,Homes Sold YoY
September-23,"Martha Jefferson, VA",633,60.25,30.40,2,-81.82,-50.00
October-23,"Fifeville, VA",279,-55.92,-33.10,12,500.00,50.00
October-23,"Martha Jefferson, VA",995,256.63,111.70,3,-75.00,-40.00
November-23,"Fifeville, VA",281,-71.76,-24.20,12,300.00,33.30
November-23,"Martha Jefferson, VA",995,254.09,111.70,3,-75.00,0.00
December-23,"Fifeville, VA",300,-69.85,3.60,12,300.00,50.00
December-23,"Martha Jefferson, VA",995,231.67,0.30,3,-75.00,50.00
January-24,"Fifeville, VA",310,-68.84,-11.00,7,133.33,-30.00
January-24,"Martha Jefferson, VA",488,57.42,-69.70,2,-71.43,100.00
February-24,"Fifeville, VA",463,-5.12,38.10,6,200.00,-14.30
February-24,"Martha Jefferson, VA",635,37.15,-7.30,3,-50.00,0.00
March-24,"Fifeville, VA",415,-34.65,14.80,7,133.33,-22.20
March-24,"Martha Jefferson, VA",950,128.92,59.60,5,-28.57,150.00
April-24,"Fifeville, VA",445,-53.16,50.40,11,120.00,37.50
April-24,"Martha Jefferson, VA",940,111.24,85.90,6,-45.45,-14.30
May-24,"Fifeville, VA",440,-53.19,43.30,12,100.00,0.00
May-24,"Martha Jefferson, VA",930,111.36,97.90,7,-41.67,-22.20
June-24,"Fifeville, VA",435,-53.23,39.40,11,57.14,-35.30
June-24,"Martha Jefferson, VA",700,60.92,43.50,5,-54.55,-50.00
July-24,"Fifeville, VA",410,-41.43,11.60,13,160.00,-27.80
July-24,"Martha Jefferson, VA",700,70.73,67.90,5,-61.54,-16.70
August-24,"Fifeville, VA",413,-41.00,11.50,10,100.00,-41.20
August-24,"Martha Jefferson, VA",625,51.33,-1.20,4,-60.00,100.00
September-24,"Fifeville, VA",380,-39.20,-3.80,9,125.00,-18.20
September-24,"Martha Jefferson, VA",735,93.42,16.20,4,-55.56,100.00
October-24,"Fifeville, VA",373,-49.25,33.50,6,50.00,-50.00
October-24,"Martha Jefferson, VA",952,155.23,-4.30,3,-50.00,0.00
November-24,"Fifeville, VA",400,-57.98,42.50,8,166.67,-33.30
November-24,"Martha Jefferson, VA",1200,200.00,23.20,2,-75.00,-33.30
December-24,"Fifeville, VA",390,-67.50,30.00,7,250.00,-41.70
December-24,"Martha Jefferson, VA",753,93.08,-24.30,4,-42.86,33.30
January-25,"Fifeville, VA",390,-48.21,25.80,5,25.00,-28.60
January-25,"Martha Jefferson, VA",464,18.97,-4.70,4,-20.00,100.00
