Date,Neighborhood ,Median Sale Price (thousands of dollars) ,Median Sale Price MoM,Median Sale Price YoY,Homes Sold,Homes Sold MoM,Homes Sold YoY,Unnamed: 8,Unnamed: 9,Divide by 
2023-03-01,"Belmont, VA",396,-0.14,0.021,10,0.2,-0.231,,,
2023-04-01,"Venable, VA",946,0.42,0.316,3,0.67,-0.25,,,
2023-04-01,"Belmont, VA",447,0.13,-0.0045,12,0.58,-0.429,,,
2023-05-01,"Venable, VA",1000,0.06,-0.052,5,0.2,0.667,,,
2023-05-01,"Belmont, VA",475,0.06,0.198,19,0.37,-0.136,,,
2023-06-01,"Venable, VA",1100,0.1,-0.21,6,0.33,1.0,,,
2023-06-01,"Belmont, VA",570,0.2,0.432,26,-0.08,-0.071,,,
2023-07-01,"Venable, VA",1100,0.0,0.209,8,-0.25,0.6,,,
2023-07-01,"Belmont, VA",565,-0.01,0.487,24,0.04,-0.2,,,
2023-08-01,"Venable, VA",1100,0.0,-0.013,6,-0.33,0.0,,,
2023-08-01,"Belmont, VA",585,0.04,0.671,25,-0.24,-0.138,,,
2023-09-01,"Venable, VA",763,-0.31,0.173,4,-0.5,-0.2,,,
2023-09-01,"Belmont, VA",550,-0.06,1.007,19,-0.16,-0.269,,,
2023-10-01,"Venable, VA",473,-0.38,0.966,2,0.0,-0.333,,,
2023-10-01,"Belmont, VA",508,-0.08,-0.236,16,-0.56,-0.304,,,
2023-11-01,"Venable, VA",473,0.0,0.229,2,0.5,0.5,,,
2023-11-01,"Belmont, VA",450,-0.11,-0.167,7,0.0,0.696,,,
2023-12-01,"Venable, VA",1300,1.75,0.762,3,0.0,0.5,,,
2023-12-01,"Belmont, VA",425,-0.06,0.03,7,-0.14,0.65,,,
2024-01-01,"Venable, VA",1300,0.0,0.762,3,0.33,0.5,,,
2024-01-01,"Belmont, VA",433,0.02,0.03,6,0.83,0.647,,,
2024-02-01,"Venable, VA",965,-0.26,3.289,4,-0.25,0.333,,,
2024-02-01,"Belmont, VA",482,0.11,0.046,11,0.09,-0.214,,,
2024-03-01,"Venable, VA",301,-0.69,-0.548,3,0.0,0.5,,,
2024-03-01,"Belmont, VA",464,-0.04,0.171,12,0.5,0.2,,,
2024-04-01,"Venable, VA",625,1.08,-0.339,3,1.33,0.0,,,
2024-04-01,"Belmont, VA",425,-0.08,-0.049,18,0.0,0.5,,,
2024-05-01,"Venable, VA",1200,0.92,0.196,7,0.14,0.4,,,
2024-05-01,"Belmont, VA",415,-0.02,-0.126,18,0.06,-0.053,,,
2024-06-01,"Venable, VA",1400,0.17,-0.27,8,0.0,0.333,,,
2024-06-01,"Belmont, VA",425,0.02,-0.254,19,0.26,-0.269,,,
2024-07-01,"Venable, VA",1400,0.0,0.227,8,-0.38,0.0,,,
2024-07-01,"Belmont, VA",432,0.02,-0.235,24,-0.08,0.0,,,
2024-08-01,"Venable, VA",1300,-0.07,0.144,5,-0.2,-0.167,,,
2024-08-01,"Belmont, VA",432,0.0,-0.262,22,0.0,-0.12,,,
2024-09-01,"Venable, VA",1100,-0.15,0.43,4,0.0,0.0,,,
2024-09-01,"Belmont, VA",445,0.03,0.191,22,-0.32,0.158,,,
2024-10-01,"Venable, VA",1100,0.0,1.262,4,0.25,1.0,,,
2024-10-01,"Belmont, VA",475,0.07,-0.064,15,-0.13,-0.063,,,
2024-11-01,"Venable, VA",1200,0.09,1.561,5,0.0,1.5,,,
2024-11-01,"Belmont, VA",475,0.0,0.056,13,-0.31,0.857,,,
2024-12-01,"Venable, VA",1200,0.0,-0.073,5,-0.2,0.667,,,
2024-12-01,"Belmont, VA",495,0.04,0.165,9,-0.22,0.286,,,
2025-01-01,"Venable, VA",1200,0.0,-0.058,4,-1.0,0.333,,,
2025-01-01,"Belmont, VA",425,-0.14,-0.017,7,-1.0,0.167,,,
